,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV
196307,0.0373,-1.7378,-0.7325,-1.8336,0.5955,-1.7367,-0.9915,-0.2382,0.1507,0.7148,-2.0309,-1.6366,-1.7629,-0.6869,-1.7029,-1.0687,-1.1587,-1.1259,-1.4934,-1.3624,0.2374,-0.2638,0.4035,0.3037,1.1488
196308,4.4164,2.2469,1.7942,1.2846,1.7042,6.0801,4.9596,2.4199,4.7405,5.2314,6.3062,4.2488,3.2519,3.9101,8.2321,6.1573,5.3845,4.2821,6.0792,6.5755,8.124,4.8461,6.2956,5.7499,6.7833
196309,-0.4724,-0.8503,-1.2406,1.1046,-1.1207,-0.0367,-2.4168,-3.8991,-2.2419,-2.5925,-3.8146,-0.7489,1.4405,-2.1695,-2.7191,-4.0806,-0.424,-2.2205,-3.4383,-2.0695,-0.9434,-0.7261,-2.9245,-1.5135,-1.9266
196310,0.5945,-0.6996,1.6731,1.926,0.0471,4.6042,4.5373,1.1553,2.9338,2.5316,1.6828,1.5984,0.8867,2.188,2.294,4.9593,0.6447,2.0817,0.9896,0.9229,2.3543,0.5001,0.818,3.5374,3.9639
196311,-3.3646,0.5276,-3.1514,-3.6993,-2.9511,-0.0115,-1.5939,0.8063,-0.5878,-2.8218,-0.5401,-2.4562,-0.5438,-2.7455,-2.6844,-1.146,-0.96,-1.0047,0.4663,0.801,-0.3598,-1.059,-1.0091,-0.1438,0.0516
196312,-2.6389,-0.1584,1.0208,-2.7751,-2.5419,-0.7109,0.0972,0.0802,0.4147,0.6736,1.9423,-0.2342,1.7179,2.7907,1.2526,0.8677,2.6094,1.2514,1.9018,-1.2075,1.8777,3.2219,1.5493,1.6021,1.4547
196401,7.6298,5.5567,3.9786,5.101,4.6966,3.1173,1.2183,2.9794,2.4878,0.1038,3.4981,1.7499,2.7896,2.6311,0.2822,3.8661,2.9472,-0.8339,0.9734,0.3619,2.0293,1.5994,2.0398,2.0397,-1.7245
196402,2.4925,-0.435,3.502,1.5054,3.273,1.1236,2.3918,3.5419,3.3462,2.9198,3.1351,3.7859,2.0847,1.9792,0.146,2.9881,2.3412,2.698,2.8043,2.1815,1.7309,2.0497,1.8049,1.7646,3.1444
196403,5.3099,4.4454,1.146,2.2413,0.8698,6.779,3.8518,3.5729,3.7908,2.4453,7.7558,2.1353,4.5418,2.4656,2.1435,6.4984,2.4173,3.3904,3.8966,1.9093,4.2621,3.3313,0.8674,0.1481,2.1278
196404,1.1193,-1.3417,0.6145,-0.0881,-0.0295,1.5144,-0.9814,-0.842,-0.9705,-1.3445,-1.9211,1.3754,-1.0052,-0.9601,-2.7379,-3.6112,-0.136,2.5837,-0.4113,-0.7527,-2.8965,0.5804,1.1514,-0.2864,1.723
196405,1.4908,1.1024,-0.976,-0.4829,-1.5553,3.4432,1.0037,1.8147,0.2308,0.7199,2.3969,1.7512,-0.7103,-0.7894,-0.8567,1.7141,2.4777,2.2515,2.0342,1.1852,-0.03,1.1873,1.4072,0.7315,0.3288
196406,0.0327,1.363,1.8268,1.6706,-0.4254,1.5599,2.3547,1.6673,0.3239,1.3829,1.8293,3.2373,1.8728,0.9581,3.18,-0.6266,1.196,3.0339,2.7727,0.9186,0.439,2.0486,2.6027,1.4351,1.458
196407,3.1795,4.2997,3.7028,3.4214,3.4578,2.4629,4.1669,4.0406,2.3517,1.7759,2.4461,0.9607,3.1576,4.3523,2.222,1.9036,3.136,2.4354,0.875,0.3736,1.5553,3.2404,2.8605,2.2657,2.1679
196408,-0.7137,-0.096,-0.5741,0.6579,0.633,-2.6136,-0.552,-0.4441,-1.4829,-1.1866,-2.0575,0.4346,0.4721,-0.1467,-0.7102,0.6761,0.1961,0.2161,0.7112,-1.6239,-0.6715,-0.0899,-1.8606,-2.2944,-1.3017
196409,3.8534,3.2257,4.9123,4.9704,4.4762,6.1463,1.3299,2.5505,1.8994,3.383,4.0079,1.7537,2.7352,2.5334,1.5865,3.8326,3.6127,2.468,4.3901,4.3965,2.0243,3.4955,2.9734,2.9354,6.1848
196410,3.3448,2.3082,4.1367,2.7234,1.9465,-0.0957,1.7996,2.1176,2.288,0.6925,2.208,2.8839,1.3836,3.8373,1.6419,1.6549,1.534,1.2703,1.9492,2.0039,1.1068,0.7566,0.2009,0.4306,1.2414
196411,-0.6672,1.1915,-3.2901,-0.8927,-0.8107,-0.2208,-3.1898,0.0915,1.3109,0.0186,-0.3116,-0.0832,0.0418,2.5371,0.555,1.5021,-1.3238,1.7009,-0.0278,0.2183,0.7073,0.1132,1.0302,1.3468,0.1713
196412,-4.1121,-1.3603,-1.4478,-1.0507,-1.8748,-2.3301,0.0021,0.9249,1.3539,0.4519,-1.0357,-1.3803,-0.2532,-0.4,0.0392,-1.1975,-0.266,0.3246,0.7818,0.6218,-2.2132,-1.2262,0.9242,-0.2482,1.5524
196501,10.301,8.1847,11.7506,6.6312,8.3985,5.9614,9.0141,4.4647,6.6005,5.5025,6.4879,5.0608,5.3384,6.3483,6.0363,6.8898,4.8851,4.869,4.9361,7.324,4.2253,4.1289,3.8297,5.0999,6.4632
196502,4.2717,3.2725,2.8862,4.928,4.1572,3.5677,3.2035,3.1343,3.139,3.4342,5.9339,3.6627,3.0055,3.5901,4.9197,1.7533,2.9425,4.6268,2.4254,2.923,2.8622,1.9383,1.3883,1.5202,3.4607
